,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes,title,studio,domestic_gross,foreign_gross,year
862,tt2582782,Hell or High Water,Hell or High Water,2016,102.0,"Action,Crime,Drama",7.6,176469,Hell or High Water,LGF,27000000.0,10900000,2016
863,tt2582802,Whiplash,Whiplash,2014,106.0,"Drama,Music",8.5,616916,Whiplash,SPC,13100000.0,35900000,2014
864,tt2609912,Kevin Hart: Let Me Explain,Kevin Hart: Let Me Explain,2013,75.0,"Comedy,Documentary",6.8,7880,Kevin Hart: Let Me Explain,LG/S,32200000.0,74000,2013
865,tt2626350,Step Up All In,Step Up All In,2014,112.0,"Drama,Music,Romance",6.0,30420,Step Up All In,LG/S,14900000.0,71300000,2014
866,tt2637276,Ted 2,Ted 2,2015,115.0,Comedy,6.3,165843,Ted 2,Uni.,81500000.0,135200000,2015
867,tt2637294,Hot Tub Time Machine 2,Hot Tub Time Machine 2,2015,93.0,"Comedy,Mystery,Sci-Fi",5.1,34444,Hot Tub Time Machine 2,Par.,12300000.0,767000,2015
868,tt2649554,Midnight Special,Midnight Special,2016,112.0,"Action,Drama,Mystery",6.6,67921,Midnight Special,WB,3700000.0,2500000,2016
869,tt2660888,Star Trek Beyond,Star Trek Beyond,2016,122.0,"Action,Adventure,Sci-Fi",7.1,209844,Star Trek Beyond,Par.,158800000.0,184600000,2016
870,tt2670556,I Wish,I Wish,2012,81.0,Fantasy,8.2,12,I Wish,Magn.,146000.0,1400000,2012
871,tt2671706,Fences,Fences,2016,139.0,Drama,7.2,86749,Fences,Par.,57700000.0,6700000,2016
872,tt2674426,Me Before You,Me Before You,2016,106.0,"Drama,Romance",7.4,174567,Me Before You,WB (NL),56200000.0,152100000,2016
873,tt2679042,Hitman: Agent 47,Hitman: Agent 47,2015,96.0,"Action,Adventure,Crime",5.7,80510,Hitman: Agent 47,Fox,22500000.0,59900000,2015
874,tt2690138,The D Train,The D Train,2015,101.0,"Comedy,Drama",5.0,10066,The D Train,IFC,673000.0,102000,2015
875,tt2692250,Night at the Museum: Secret of the Tomb,Night at the Museum: Secret of the Tomb,2014,98.0,"Adventure,Comedy,Family",6.2,93103,Night at the Museum: Secret of the Tomb,Fox,113700000.0,249500000,2014
876,tt2702724,The Boss,The Boss,2016,99.0,Comedy,5.4,39096,The Boss,Uni.,63300000.0,15600000,2016
877,tt2704998,Game Night,Game Night,2018,100.0,"Action,Comedy,Crime",7.0,163279,Game Night,WB (NL),69200000.0,48500000,2018
878,tt2707858,Yves Saint Laurent,Yves Saint Laurent,2014,106.0,"Biography,Drama",6.2,10311,Yves Saint Laurent,Wein.,724000.0,20300000,2014
879,tt2709768,The Secret Life of Pets,The Secret Life of Pets,2016,87.0,"Adventure,Animation,Comedy",6.5,161997,The Secret Life of Pets,Uni.,368400000.0,507100000,2016
880,tt2717822,Blackhat,Blackhat,2015,133.0,"Action,Crime,Thriller",5.4,48427,Blackhat,Uni.,8000000.0,11600000,2015
881,tt2726560,The Longest Ride,The Longest Ride,2015,123.0,"Drama,Romance",7.1,70327,The Longest Ride,Fox,37400000.0,25500000,2015
882,tt2737050,"Two Days, One Night","Deux jours, une nuit",2014,95.0,Drama,7.3,41288,"Two Days, One Night",IFC,1400000.0,5400000,2014
883,tt2751390,Life of Riley,"Aimer, boire et chanter",2014,108.0,"Comedy,Drama,Romance",6.0,1110,Life of Riley,KL,11600.0,2300000,2014
884,tt2752758,Devil's Due,Devil's Due,2014,89.0,"Horror,Mystery,Thriller",4.1,15502,Devil's Due,Fox,15800000.0,21100000,2014
885,tt2752772,Sinister 2,Sinister 2,2015,97.0,"Horror,Mystery,Thriller",5.3,41782,Sinister 2,Focus,27700000.0,25100000,2015
886,tt2771372,Veronica Mars,Veronica Mars,2014,107.0,"Crime,Drama,Mystery",6.8,46751,Veronica Mars,WB,3300000.0,195000,2014
887,tt2784678,Top Five,Top Five,2014,102.0,"Comedy,Romance",6.4,24744,Top Five,Par.,25300000.0,800000,2014
888,tt2799166,The Pyramid,The Pyramid,2014,89.0,"Action,Adventure,Horror",4.6,21364,The Pyramid,Fox,2800000.0,14100000,2014
889,tt2800050,A Beautiful Planet,A Beautiful Planet,2016,46.0,Documentary,7.4,893,A Beautiful Planet,Imax,15500000.0,9400000,2016
890,tt2820852,Furious 7,Furious Seven,2015,137.0,"Action,Crime,Thriller",7.2,335074,Furious 7,Uni.,353000000.0,"1,163.0",2015
891,tt2823054,Mike and Dave Need Wedding Dates,Mike and Dave Need Wedding Dates,2016,98.0,"Adventure,Comedy,Romance",6.0,74849,Mike and Dave Need Wedding Dates,Fox,46000000.0,31100000,2016
892,tt2828840,Fists of Legend,Jeonseolui joomeok,2013,154.0,Action,6.9,966,Fists of Legend,CJ,134000.0,5300000,2013
893,tt2828996,A Haunted House 2,A Haunted House 2,2014,86.0,"Comedy,Fantasy",4.7,18085,A Haunted House 2,ORF,17300000.0,6600000,2014
894,tt2848292,Pitch Perfect 2,Pitch Perfect 2,2015,115.0,"Comedy,Music",6.4,130692,Pitch Perfect 2,Uni.,184300000.0,103200000,2015
895,tt2854926,Tag,Tag,2018,100.0,Comedy,6.5,85186,Tag,WB (NL),54700000.0,23400000,2018
896,tt2869728,Ride Along 2,Ride Along 2,2016,102.0,"Action,Comedy,Crime",5.9,48688,Ride Along 2,Uni.,91200000.0,33400000,2016
897,tt2870708,Wish I Was Here,Wish I Was Here,2014,106.0,"Comedy,Drama",6.7,34907,Wish I Was Here,Focus,3600000.0,1900000,2014
898,tt2870756,Magic in the Moonlight,Magic in the Moonlight,2014,97.0,"Comedy,Romance",6.6,59054,Magic in the Moonlight,SPC,10500000.0,40500000,2014
899,tt2872518,The Shack,The Shack,2017,132.0,"Drama,Fantasy",6.3,26065,The Shack,LG/S,57400000.0,39600000,2017
900,tt2872718,Nightcrawler,Nightcrawler,2014,117.0,"Crime,Drama,Thriller",7.9,404476,Nightcrawler,ORF,32400000.0,6300000,2014
901,tt2872732,Lucy,Lucy,2014,89.0,"Action,Sci-Fi,Thriller",6.4,403194,Lucy,Uni.,126700000.0,336700000,2014
902,tt2872750,Shaun the Sheep Movie,Shaun the Sheep Movie,2015,85.0,"Adventure,Animation,Comedy",7.4,32935,Shaun the Sheep Movie,LGF,19400000.0,86800000,2015
903,tt2873282,Red Sparrow,Red Sparrow,2018,140.0,"Action,Drama,Thriller",6.6,136738,Red Sparrow,Fox,46900000.0,104700000,2018
904,tt2883512,Chef,Chef,2014,114.0,"Adventure,Comedy,Drama",7.3,173270,Chef,ORF,31400000.0,14500000,2014
905,tt2905838,Bang Bang,Bang Bang,2014,153.0,"Action,Adventure,Comedy",5.5,19878,Bang Bang,FIP,2500000.0,39500000,2014
906,tt2909116,Wolf Totem,Le dernier loup,2015,121.0,"Adventure,Drama",6.7,5039,Wolf Totem,Sony,211000.0,125600000,2015
907,tt2911666,John Wick,John Wick,2014,101.0,"Action,Crime,Thriller",7.4,449942,John Wick,LG/S,43000000.0,45700000,2014
908,tt2918436,The Lazarus Effect,The Lazarus Effect,2015,83.0,"Horror,Mystery,Sci-Fi",5.2,37675,The Lazarus Effect,Rela.,25800000.0,12600000,2015
909,tt2920540,"20,000 Days on Earth","20,000 Days on Earth",2014,97.0,"Documentary,Drama,Music",7.5,10155,"20,000 Days on Earth",Drft.,280000.0,1800000,2014
910,tt2935476,Far from the Madding Crowd,Far from the Madding Crowd,2015,119.0,"Drama,Romance",7.1,41099,Far from the Madding Crowd,FoxS,12200000.0,18000000,2015
911,tt2937898,A Most Violent Year,A Most Violent Year,2014,125.0,"Crime,Drama,Thriller",7.0,60165,A Most Violent Year,A24,5700000.0,6300000,2014
912,tt2938956,The Transporter Refueled,The Transporter Refueled,2015,96.0,"Action,Adventure,Crime",5.2,36201,The Transporter Refueled,EC,16000000.0,56600000,2015
913,tt2948356,Zootopia,Zootopia,2016,108.0,"Adventure,Animation,Comedy",8.0,383446,Zootopia,BV,341300000.0,682500000,2016
914,tt2967006,The Trip to Italy,The Trip to Italy,2014,108.0,"Comedy,Drama",6.6,13668,The Trip to Italy,IFC,2900000.0,3000000,2014
915,tt2967224,Hot Pursuit,Hot Pursuit,2015,87.0,"Action,Comedy,Crime",5.1,44723,Hot Pursuit,WB (NL),34600000.0,17100000,2015
916,tt2974918,Alvin and the Chipmunks: The Road Chip,Alvin and the Chipmunks: The Road Chip,2015,92.0,"Adventure,Animation,Comedy",5.1,14507,Alvin and the Chipmunks: The Road Chip,Fox,85900000.0,148900000,2015
917,tt2975578,The Purge: Anarchy,The Purge: Anarchy,2014,103.0,"Action,Horror,Sci-Fi",6.5,126203,The Purge: Anarchy,Uni.,72000000.0,40000000,2014
918,tt2975590,Batman v Superman: Dawn of Justice,Batman v Superman: Dawn of Justice,2016,151.0,"Action,Adventure,Fantasy",6.5,576909,Batman v Superman: Dawn of Justice,WB,330400000.0,543300000,2016
919,tt2978462,Dolphin Tale 2,Dolphin Tale 2,2014,107.0,"Drama,Family",6.4,7579,Dolphin Tale 2,WB,42000000.0,15800000,2014
920,tt2980516,The Theory of Everything,The Theory of Everything,2014,123.0,"Biography,Drama,Romance",7.7,361534,The Theory of Everything,Focus,35900000.0,87800000,2014
921,tt2980648,The Hundred-Foot Journey,The Hundred-Foot Journey,2014,122.0,"Comedy,Drama",7.3,69562,The Hundred-Foot Journey,BV,54200000.0,34600000,2014
922,tt2980706,Planes: Fire & Rescue,Planes: Fire & Rescue,2014,83.0,"Adventure,Animation,Comedy",6.0,15273,Planes: Fire & Rescue,BV,59200000.0,92200000,2014
923,tt2992146,Young Detective Dee: Rise of the Sea Dragon,Di Renjie: Shen du long wang,2013,134.0,"Action,Adventure,Drama",6.5,3944,Young Detective Dee: Rise of the Sea Dragon,WAMCR,87800.0,72200000,2013
924,tt2992152,Personal Tailor,Si ren ding zhi,2013,118.0,"Comedy,Drama",5.2,1008,Personal Tailor,CL,376000.0,115800000,2013
925,tt3008014,The Face Reader,Gwansang,2013,140.0,"Drama,History",6.9,1754,The Face Reader,PM&E,516000.0,54100000,2013
926,tt3043630,Tiny Times,Xiao shi dai,2013,116.0,"Drama,Romance",3.0,2028,Tiny Times,CL,23500.0,77700000,2013
927,tt3045616,Mortdecai,Mortdecai,2015,107.0,"Action,Comedy,Crime",5.5,61366,Mortdecai,LGF,7700000.0,39600000,2015
928,tt3062096,Inferno,Inferno,2016,121.0,"Action,Adventure,Crime",6.2,138978,Inferno,Sony,34300000.0,185700000,2016
929,tt3065132,He Named Me Malala,He Named Me Malala,2015,88.0,Documentary,6.9,4167,He Named Me Malala,FoxS,2700000.0,97100,2015
930,tt3065204,The Conjuring 2,The Conjuring 2,2016,134.0,"Drama,Horror,Mystery",7.4,194543,The Conjuring 2,WB (NL),102500000.0,217900000,2016
931,tt3076658,Creed,Creed,2015,133.0,"Drama,Sport",7.6,224671,Creed,WB (NL),109800000.0,63800000,2015
932,tt3077214,Suffragette,Suffragette,2015,106.0,"Biography,Drama,History",6.9,34306,Suffragette,Focus,4700000.0,11300000,2015
933,tt3079380,Spy,Spy,2015,119.0,"Action,Comedy,Crime",7.0,213908,Spy,Fox,110800000.0,124800000,2015
934,tt3104988,Crazy Rich Asians,Crazy Rich Asians,2018,120.0,"Comedy,Romance",7.0,96617,Crazy Rich Asians,WB,174500000.0,64000000,2018
935,tt3110958,Now You See Me 2,Now You See Me 2,2016,129.0,"Action,Adventure,Comedy",6.5,216219,Now You See Me 2,LG/S,65099999.0,269800000,2016
